eigenvalue	proportion	cumulative
  0.83637	  0.00082	  0.97167	0.131pixel_689-0.111pixel_40+0.093pixel_164-0.092pixel_5+0.092pixel_424...
  0.79901	  0.00078	  0.97245	0.191pixel_135-0.167pixel_200-0.128pixel_282+0.116pixel_614-0.115pixel_232...
  0.78004	  0.00076	  0.97321	-0.136pixel_586+0.115pixel_616+0.111pixel_370-0.11pixel_554+0.107pixel_338...
  0.76434	  0.00075	  0.97396	-0.155pixel_743+0.151pixel_465-0.147pixel_136-0.127pixel_872+0.126pixel_232...
  0.74735	  0.00073	  0.97469	-0.153pixel_371-0.152pixel_263-0.144pixel_400+0.131pixel_465-0.108pixel_403...
  0.73611	  0.00072	  0.97541	0.122pixel_460+0.11 pixel_688+0.108pixel_459+0.108pixel_461+0.107pixel_839...
  0.68526	  0.00067	  0.97608	-0.149pixel_593+0.136pixel_809-0.118pixel_807-0.118pixel_904-0.105pixel_936...
  0.67156	  0.00066	  0.97673	-0.12pixel_402-0.105pixel_899+0.103pixel_136+0.099pixel_616+0.099pixel_423...
  0.64661	  0.00063	  0.97737	-0.145pixel_403-0.128pixel_434-0.127pixel_462-0.126pixel_904-0.126pixel_461...
  0.62302	  0.00061	  0.97797	-0.188pixel_839+0.145pixel_903-0.129pixel_625-0.123pixel_551+0.122pixel_938...
  0.60521	  0.00059	  0.97856	-0.166pixel_400-0.164pixel_872-0.149pixel_432+0.14 pixel_377+0.13 pixel_345...
  0.58037	  0.00057	  0.97913	-0.173pixel_745-0.124pixel_649-0.124pixel_554-0.114pixel_713-0.106pixel_650...
  0.5509 	  0.00054	  0.97967	0.176pixel_659+0.127pixel_807+0.121pixel_937-0.117pixel_840-0.117pixel_776...
  0.5368 	  0.00052	  0.98019	0.185pixel_807+0.169pixel_295+0.141pixel_595-0.106pixel_432-0.1pixel_692...
  0.52125	  0.00051	  0.9807 	0.149pixel_745-0.118pixel_367-0.108pixel_775-0.104pixel_679+0.101pixel_456...
  0.50555	  0.00049	  0.9812 	0.184pixel_839+0.157pixel_1024-0.136pixel_73-0.13pixel_840+0.122pixel_434...
  0.49603	  0.00048	  0.98168	0.145pixel_169+0.13 pixel_904+0.12 pixel_168-0.118pixel_370-0.116pixel_371...
  0.48268	  0.00047	  0.98215	-0.16pixel_105+0.135pixel_372-0.115pixel_723+0.115pixel_340+0.113pixel_535...
  0.47296	  0.00046	  0.98261	-0.131pixel_807+0.129pixel_458-0.127pixel_295+0.122pixel_434+0.114pixel_431...
  0.45709	  0.00045	  0.98306	0.151pixel_370+0.142pixel_840-0.134pixel_871+0.119pixel_401+0.118pixel_807...
  0.43968	  0.00043	  0.98349	0.185pixel_745-0.185pixel_648+0.149pixel_689+0.13 pixel_327+0.122pixel_200...
  0.43273	  0.00042	  0.98391	-0.227pixel_807+0.118pixel_327+0.114pixel_423-0.108pixel_337-0.104pixel_265...
  0.41443	  0.0004 	  0.98432	-0.189pixel_807+0.142pixel_263+0.133pixel_106-0.123pixel_840-0.122pixel_296...
  0.39846	  0.00039	  0.98471	0.176pixel_104-0.142pixel_435-0.127pixel_137-0.116pixel_295+0.112pixel_372...
  0.39545	  0.00039	  0.98509	0.175pixel_264-0.158pixel_807+0.13 pixel_401+0.125pixel_167+0.122pixel_295...
  0.38693	  0.00038	  0.98547	-0.143pixel_432+0.13 pixel_839+0.13 pixel_166-0.121pixel_554-0.117pixel_623...
  0.38248	  0.00037	  0.98584	0.203pixel_936-0.193pixel_594-0.148pixel_626+0.146pixel_564-0.132pixel_293...
  0.36724	  0.00036	  0.9862 	0.21 pixel_135-0.175pixel_807+0.128pixel_167+0.118pixel_554+0.102pixel_502...
  0.3452 	  0.00034	  0.98654	0.144pixel_743+0.124pixel_775-0.121pixel_338+0.121pixel_403-0.119pixel_370...
  0.33851	  0.00033	  0.98687	-0.24pixel_839+0.122pixel_361+0.113pixel_531+0.113pixel_499-0.108pixel_655...
  0.33186	  0.00032	  0.98719	0.142pixel_167-0.125pixel_263-0.124pixel_434+0.11 pixel_840+0.109pixel_106...
