eigenvalue	proportion	cumulative
  0      	  0      	  1      	-0.16pixel_1012-0.117pixel_768-0.108pixel_852+0.107pixel_220-0.102pixel_764...
  0      	  0      	  1      	-0.134pixel_1014-0.115pixel_518+0.108pixel_798-0.108pixel_820-0.106pixel_20...
  0      	  0      	  1      	-0.155pixel_1008-0.116pixel_719-0.114pixel_735+0.112pixel_550+0.11 pixel_826...
  0      	  0      	  1      	0.122pixel_147+0.117pixel_515+0.116pixel_978-0.106pixel_206+0.101pixel_1008...
  0      	  0      	  1      	-0.148pixel_1015+0.139pixel_1012-0.112pixel_701+0.112pixel_952-0.097pixel_886...
  0      	  0      	  1      	-0.123pixel_485-0.12pixel_1002+0.114pixel_702-0.111pixel_150-0.108pixel_54...
  0      	  0      	  1      	-0.115pixel_752+0.113pixel_794-0.112pixel_748+0.107pixel_846-0.1pixel_814...
  0      	  0      	  1      	0.136pixel_812+0.13 pixel_576-0.129pixel_544+0.116pixel_1015-0.109pixel_798...
  0      	  0      	  1      	-0.139pixel_544+0.099pixel_747+0.098pixel_1010+0.096pixel_604+0.094pixel_753...
  0      	  0      	  1      	-0.133pixel_1002+0.113pixel_88+0.11 pixel_549-0.109pixel_825-0.103pixel_445...
  0      	  0      	  1      	0.128pixel_852-0.117pixel_671+0.102pixel_760+0.101pixel_88-0.097pixel_886...
  0      	  0      	  1      	-0.111pixel_150+0.101pixel_266+0.099pixel_846+0.097pixel_204+0.096pixel_984...
  0      	  0      	  1      	-0.132pixel_732+0.124pixel_149-0.117pixel_1002-0.11pixel_83+0.098pixel_343...
  0      	  0      	  1      	-0.118pixel_608-0.109pixel_886+0.104pixel_540+0.101pixel_54+0.093pixel_825...
  0      	  0      	  1      	0.111pixel_885+0.11 pixel_237+0.107pixel_913+0.098pixel_987-0.095pixel_1002...
  0      	  0      	  1      	0.124pixel_517-0.104pixel_572+0.104pixel_153+0.096pixel_318-0.095pixel_243...
  0      	  0      	  1      	0.114pixel_919+0.112pixel_852+0.091pixel_987-0.088pixel_1012-0.088pixel_878...
  0      	  0      	  1      	-0.182pixel_1012-0.116pixel_852+0.114pixel_817-0.113pixel_565+0.112pixel_750...
  0      	  0      	  1      	-0.129pixel_915-0.118pixel_715+0.114pixel_797-0.1pixel_382+0.096pixel_142...
  0      	  0      	  1      	-0.116pixel_384+0.112pixel_883-0.101pixel_187-0.098pixel_947-0.094pixel_83...
  0      	  0      	  1      	-0.108pixel_214-0.106pixel_375+0.101pixel_150+0.1  pixel_638-0.097pixel_117...
  0      	  0      	  1      	-0.107pixel_952+0.104pixel_1002-0.104pixel_797-0.099pixel_640+0.097pixel_919...
  0      	  0      	  1      	-0.116pixel_891-0.103pixel_57+0.101pixel_696+0.1  pixel_1002-0.098pixel_632...
  0      	  0      	  1      	0.121pixel_794+0.106pixel_911+0.106pixel_798-0.097pixel_1004+0.097pixel_235...
  0      	  0      	  1      	-0.129pixel_1002+0.098pixel_286+0.094pixel_121+0.093pixel_699+0.09 pixel_83...
  0      	  0      	  1      	-0.11pixel_911+0.105pixel_947-0.104pixel_816-0.094pixel_978+0.094pixel_785...
  0      	  0      	  1      	-0.12pixel_204+0.113pixel_542-0.113pixel_843-0.112pixel_797-0.105pixel_878...
  0      	  0      	  1      	0.137pixel_186+0.136pixel_979+0.11 pixel_953-0.103pixel_973-0.099pixel_119...
  0      	  0      	  1      	0.121pixel_512-0.113pixel_977-0.108pixel_480+0.1  pixel_222-0.099pixel_831...
  0      	  0      	  1      	-0.117pixel_580+0.103pixel_909+0.103pixel_975+0.102pixel_388-0.097pixel_749...
  0      	  0      	  1      	0.114pixel_247-0.112pixel_48-0.11pixel_945-0.104pixel_859+0.103pixel_156...
  0      	  0      	  1      	-0.119pixel_1008-0.118pixel_947+0.107pixel_152+0.105pixel_115+0.103pixel_204...
  0      	  0      	  1      	0.106pixel_1009-0.104pixel_735+0.098pixel_967+0.097pixel_663+0.095pixel_47...
  0      	  0      	  1      	-0.125pixel_178-0.107pixel_944-0.105pixel_892+0.095pixel_635+0.094pixel_982...
  0      	  0      	  1      	0.112pixel_701+0.11 pixel_116-0.106pixel_543-0.103pixel_824-0.095pixel_565...
  0      	  0      	  1      	-0.113pixel_641-0.089pixel_885-0.086pixel_945+0.085pixel_699-0.083pixel_397...
  0      	  0      	  1      	0.1  pixel_452-0.1pixel_455+0.098pixel_908+0.095pixel_918+0.092pixel_764...
  0      	  0      	  1      	0.123pixel_87+0.11 pixel_848+0.101pixel_333+0.099pixel_720-0.099pixel_449...
  0      	  0      	  1      	0.138pixel_91-0.135pixel_350+0.111pixel_177-0.108pixel_89-0.098pixel_938...
  0      	  0      	  1      	-0.104pixel_945-0.103pixel_544+0.097pixel_714+0.095pixel_1006+0.095pixel_847...
  0      	  0      	  1      	-0.112pixel_451+0.108pixel_794+0.099pixel_216+0.092pixel_682+0.086pixel_483...
  0      	  0      	  1      	0.126pixel_797-0.092pixel_726-0.09pixel_145-0.088pixel_699-0.087pixel_120...
  0      	  0      	  1      	-0.135pixel_750-0.123pixel_510-0.109pixel_206+0.105pixel_1001-0.094pixel_784...
  0      	  0      	  1      	0.126pixel_53-0.107pixel_380+0.101pixel_752+0.093pixel_852-0.091pixel_125...
  0      	  0      	  1      	0.114pixel_382+0.114pixel_574-0.107pixel_953+0.106pixel_186+0.102pixel_39...
  0      	  0      	  1      	-0.125pixel_87+0.113pixel_212-0.111pixel_758+0.108pixel_789-0.104pixel_786...
  0      	  0      	  1      	0.129pixel_550-0.113pixel_280-0.1pixel_272-0.099pixel_829+0.099pixel_383...
  0      	  0      	  1      	-0.123pixel_1012+0.122pixel_16-0.104pixel_885+0.099pixel_512-0.098pixel_843...
  0      	  0      	  1      	-0.142pixel_629+0.111pixel_799+0.107pixel_18-0.094pixel_992-0.093pixel_736...
  0      	  0      	  1      	0.114pixel_446-0.112pixel_637+0.096pixel_792-0.095pixel_883+0.095pixel_91...
  0      	  0      	  1      	0.123pixel_452-0.118pixel_850+0.099pixel_9-0.09pixel_664+0.09 pixel_26...
  0      	  0      	  1      	0.114pixel_284+0.113pixel_549-0.107pixel_612+0.106pixel_49+0.102pixel_733...
  0      	  0      	  1      	0.117pixel_547-0.107pixel_180-0.105pixel_218+0.105pixel_475+0.104pixel_18...
  0      	  0      	  1      	0.122pixel_909-0.106pixel_787+0.103pixel_812-0.091pixel_847-0.091pixel_116...
  0      	  0      	  1      	0.112pixel_945-0.101pixel_139-0.098pixel_84+0.094pixel_766+0.091pixel_292...
  0      	  0      	  1      	-0.13pixel_112+0.109pixel_665+0.104pixel_17+0.094pixel_796-0.093pixel_698...
  0      	  0      	  1      	-0.118pixel_255-0.103pixel_452-0.101pixel_811+0.1  pixel_877+0.099pixel_810...
  0      	  0      	  1      	-0.095pixel_139+0.094pixel_670-0.094pixel_165-0.087pixel_152-0.087pixel_101...
  0      	  0      	  1      	-0.105pixel_667-0.102pixel_672+0.099pixel_921-0.091pixel_982+0.089pixel_762...
  0      	  0      	  1      	0.108pixel_979-0.099pixel_173+0.098pixel_21-0.097pixel_608-0.096pixel_751...
  0      	  0      	  1      	0.123pixel_411+0.1  pixel_20+0.099pixel_120-0.097pixel_947+0.096pixel_850...
  0      	  0      	  1      	-0.147pixel_382+0.113pixel_16+0.11 pixel_15-0.107pixel_48-0.107pixel_117...
  0      	  0      	  1      	0.119pixel_943+0.118pixel_188-0.106pixel_705-0.091pixel_992-0.09pixel_995...
  0      	  0      	  1      	-0.114pixel_56+0.108pixel_271-0.096pixel_916+0.093pixel_668+0.092pixel_84...
  0      	  0      	  1      	0.118pixel_52-0.11pixel_453+0.107pixel_182+0.106pixel_347-0.105pixel_510...
  0      	  0      	  1      	-0.126pixel_942-0.121pixel_951-0.107pixel_670-0.102pixel_181+0.1  pixel_725...
  0      	  0      	  1      	0.098pixel_15-0.095pixel_549-0.093pixel_694-0.092pixel_415+0.092pixel_223...
  0      	  0      	  1      	0.127pixel_1002+0.096pixel_734-0.096pixel_253+0.095pixel_447+0.094pixel_248...
  0      	  0      	  1      	-0.125pixel_786-0.124pixel_977+0.118pixel_510-0.111pixel_860+0.096pixel_1002...
  0      	  0      	  1      	-0.124pixel_317+0.124pixel_978+0.105pixel_119-0.101pixel_965-0.095pixel_287...
  0      	  0      	  1      	0.097pixel_789+0.096pixel_815+0.091pixel_947+0.089pixel_705-0.087pixel_334...
  0      	  0      	  1      	-0.104pixel_577-0.103pixel_734+0.103pixel_255+0.098pixel_947-0.094pixel_175...
  0      	  0      	  1      	-0.133pixel_547+0.105pixel_796-0.095pixel_48-0.095pixel_965+0.095pixel_879...
  0      	  0      	  1      	0.118pixel_638+0.11 pixel_997+0.095pixel_279+0.092pixel_582+0.092pixel_731...
  0      	  0      	  1      	-0.104pixel_1001-0.103pixel_113+0.095pixel_967-0.091pixel_669-0.088pixel_919...
  0      	  0      	  1      	-0.105pixel_859-0.088pixel_671-0.087pixel_819-0.086pixel_543-0.085pixel_612...
  0      	  0      	  1      	0.118pixel_112-0.112pixel_418-0.11pixel_592-0.107pixel_845+0.103pixel_977...
  0      	  0      	  1      	-0.103pixel_992-0.101pixel_597-0.091pixel_917+0.089pixel_960+0.088pixel_569...
  0      	  0      	  1      	0.133pixel_151+0.112pixel_765+0.111pixel_874+0.109pixel_707+0.107pixel_637...
  0      	  0      	  1      	-0.122pixel_145-0.097pixel_759+0.096pixel_845+0.095pixel_1005+0.089pixel_859...
  0      	  0      	  1      	0.116pixel_668+0.112pixel_197-0.111pixel_917+0.109pixel_823+0.109pixel_831...
  0      	  0      	  1      	0.101pixel_117+0.092pixel_49+0.092pixel_101+0.092pixel_330-0.088pixel_517...
  0      	  0      	  1      	0.111pixel_1000-0.099pixel_24+0.095pixel_376+0.094pixel_35-0.092pixel_765...
  0      	  0      	  1      	0.111pixel_203-0.108pixel_972-0.105pixel_210-0.1pixel_213-0.099pixel_146...
  0      	  0      	  1      	0.103pixel_723-0.103pixel_325+0.1  pixel_765+0.097pixel_891-0.096pixel_1005...
  0      	  0      	  1      	-0.131pixel_544+0.115pixel_145-0.097pixel_126+0.09 pixel_234-0.088pixel_876...
  0      	  0      	  1      	-0.111pixel_480-0.106pixel_121+0.102pixel_394+0.101pixel_765-0.096pixel_799...
  0      	  0      	  1      	-0.101pixel_662-0.094pixel_246+0.088pixel_178+0.087pixel_857+0.086pixel_245...
  0      	  0      	  1      	-0.122pixel_946+0.12 pixel_664+0.094pixel_912-0.089pixel_869+0.087pixel_419...
  0      	  0      	  1      	-0.104pixel_637-0.099pixel_241+0.099pixel_952+0.092pixel_82-0.092pixel_970...
  0      	  0      	  1      	-0.097pixel_604+0.097pixel_80-0.095pixel_30+0.094pixel_323+0.094pixel_540...
  0      	  0      	  1      	0.112pixel_977-0.108pixel_205+0.1  pixel_920+0.099pixel_784-0.093pixel_343...
  0      	  0      	  1      	-0.116pixel_42+0.111pixel_118+0.101pixel_399+0.092pixel_74-0.091pixel_786...
  0      	  0      	  1      	-0.109pixel_235+0.108pixel_827-0.1pixel_354+0.096pixel_701-0.096pixel_767...
  0      	  0      	  1      	-0.106pixel_792+0.103pixel_407+0.096pixel_238-0.093pixel_919+0.09 pixel_148...
  0      	  0      	  1      	0.114pixel_732+0.095pixel_411+0.095pixel_217-0.091pixel_116-0.09pixel_83...
  0      	  0      	  1      	0.106pixel_243-0.101pixel_208-0.101pixel_577+0.095pixel_187-0.094pixel_447...
  0      	  0      	  1      	-0.119pixel_278-0.108pixel_384-0.107pixel_14-0.102pixel_214+0.101pixel_149...
  0      	  0      	  1      	-0.12pixel_145+0.097pixel_84-0.096pixel_507-0.096pixel_887-0.091pixel_820...
  0      	  0      	  1      	-0.094pixel_300-0.093pixel_749-0.093pixel_539+0.091pixel_54-0.091pixel_388...
  0      	  0      	  1      	-0.113pixel_802-0.107pixel_964+0.097pixel_610+0.096pixel_938+0.095pixel_714...
  0      	  0      	  1      	0.106pixel_41+0.096pixel_981+0.087pixel_287-0.087pixel_209+0.087pixel_226...
  0      	  0      	  1      	0.11 pixel_155-0.102pixel_540+0.098pixel_846+0.098pixel_354-0.093pixel_122...
  0      	  0      	  1      	-0.117pixel_581-0.106pixel_90+0.104pixel_141+0.1  pixel_737-0.099pixel_505...
  0      	  0      	  1      	0.112pixel_252-0.103pixel_59-0.099pixel_221+0.094pixel_428+0.092pixel_122...
  0      	  0      	  1      	-0.101pixel_604+0.092pixel_154+0.092pixel_184+0.088pixel_18-0.088pixel_348...
  0      	  0      	  1      	0.157pixel_55+0.125pixel_913+0.096pixel_78-0.095pixel_221-0.089pixel_85...
  0      	  0      	  1      	-0.105pixel_350+0.095pixel_384-0.093pixel_16+0.092pixel_863-0.088pixel_479...
  0      	  0      	  1      	0.111pixel_97+0.109pixel_779+0.107pixel_693-0.091pixel_692-0.09pixel_247...
  0      	  0      	  1      	0.141pixel_349+0.126pixel_112-0.122pixel_388-0.107pixel_80-0.105pixel_380...
  0      	  0      	  1      	0.103pixel_107+0.096pixel_891-0.093pixel_347-0.089pixel_288-0.086pixel_23...
  0      	  0      	  1      	0.113pixel_76+0.106pixel_847+0.106pixel_205+0.096pixel_343+0.093pixel_151...
  0      	  0      	  1      	-0.116pixel_749+0.106pixel_366+0.105pixel_933-0.097pixel_682-0.093pixel_221...
  0      	  0      	  1      	-0.108pixel_292-0.106pixel_992+0.1  pixel_889-0.097pixel_483+0.096pixel_876...
  0      	  0      	  1      	-0.111pixel_253+0.106pixel_222-0.1pixel_746+0.095pixel_301-0.094pixel_471...
  0      	  0      	  1      	0.097pixel_267+0.096pixel_349-0.095pixel_376+0.093pixel_21+0.091pixel_279...
  0      	  0      	  1      	-0.114pixel_880+0.102pixel_939-0.096pixel_483+0.094pixel_65-0.089pixel_987...
  0      	  0      	  1      	0.105pixel_714+0.098pixel_178-0.088pixel_965+0.087pixel_306-0.083pixel_419...
  0      	  0      	  1      	-0.098pixel_887+0.086pixel_855-0.083pixel_780-0.082pixel_866-0.082pixel_722...
  0      	  0      	  1      	-0.119pixel_117-0.097pixel_247-0.096pixel_575+0.089pixel_793+0.087pixel_542...
  0      	  0      	  1      	0.115pixel_907+0.108pixel_244+0.098pixel_352+0.092pixel_155+0.091pixel_126...
  0      	  0      	  1      	0.109pixel_746+0.1  pixel_980+0.098pixel_889+0.095pixel_799+0.091pixel_117...
  0      	  0      	  1      	-0.109pixel_107-0.094pixel_785-0.091pixel_110-0.091pixel_885+0.09 pixel_475...
  0      	  0      	  1      	-0.11pixel_338+0.097pixel_921+0.096pixel_915+0.092pixel_382+0.084pixel_920...
  0      	  0      	  1      	-0.106pixel_89+0.102pixel_607-0.101pixel_26-0.099pixel_605-0.099pixel_48...
  0      	  0      	  1      	0.127pixel_992+0.104pixel_133+0.101pixel_805+0.1  pixel_157-0.099pixel_349...
  0      	  0      	  1      	0.103pixel_165-0.1pixel_853-0.093pixel_765-0.087pixel_159+0.086pixel_566...
  0      	  0      	  1      	-0.107pixel_632+0.105pixel_818+0.103pixel_504-0.102pixel_699+0.099pixel_204...
  0      	  0      	  1      	0.118pixel_453-0.117pixel_56-0.112pixel_726-0.107pixel_799-0.105pixel_159...
  0      	  0      	  1      	-0.099pixel_141+0.098pixel_7-0.095pixel_38+0.094pixel_714+0.092pixel_978...
  0      	  0      	  1      	-0.127pixel_826-0.127pixel_766+0.095pixel_856-0.092pixel_256-0.089pixel_726...
  0      	  0      	  1      	-0.114pixel_950+0.1  pixel_974-0.097pixel_986-0.093pixel_660+0.092pixel_326...
  0      	  0      	  1      	0.105pixel_865+0.09 pixel_90+0.087pixel_437-0.085pixel_941-0.084pixel_406...
  0      	  0      	  1      	0.111pixel_672+0.104pixel_177+0.101pixel_163-0.1pixel_258-0.092pixel_358...
  0      	  0      	  1      	0.117pixel_202+0.115pixel_65-0.098pixel_170+0.094pixel_612+0.089pixel_991...
  0      	  0      	  1      	0.102pixel_50+0.101pixel_48-0.1pixel_204+0.099pixel_121-0.098pixel_993...
  0      	  0      	  1      	0.106pixel_638+0.103pixel_145-0.103pixel_26+0.096pixel_406-0.095pixel_961...
  0      	  0      	  1      	0.103pixel_471-0.1pixel_577-0.094pixel_303-0.094pixel_224+0.091pixel_611...
  0      	  0      	  1      	0.105pixel_1002+0.092pixel_215+0.09 pixel_954+0.088pixel_644-0.087pixel_695...
  0      	  0      	  1      	0.12 pixel_321-0.103pixel_579-0.1pixel_121+0.1  pixel_419-0.095pixel_396...
  0      	  0      	  1      	0.097pixel_271+0.094pixel_223-0.089pixel_95+0.088pixel_73+0.088pixel_834...
  0      	  0      	  1      	-0.102pixel_737+0.094pixel_565-0.092pixel_77+0.09 pixel_661+0.089pixel_193...
  0      	  0      	  1      	0.121pixel_851+0.12 pixel_927-0.1pixel_884+0.095pixel_778+0.093pixel_326...
  0      	  0      	  1      	0.136pixel_386-0.113pixel_144-0.101pixel_126+0.09 pixel_542-0.089pixel_978...
  0      	  0      	  1      	-0.127pixel_955-0.111pixel_884-0.106pixel_1001-0.102pixel_672-0.098pixel_89...
  0      	  0      	  1      	-0.105pixel_283-0.098pixel_951+0.095pixel_308-0.091pixel_127-0.091pixel_694...
  0      	  0      	  1      	0.119pixel_380+0.118pixel_301-0.105pixel_822-0.097pixel_734-0.097pixel_252...
  0      	  0      	  1      	0.11 pixel_18+0.1  pixel_880-0.099pixel_962-0.095pixel_860-0.092pixel_285...
  0      	  0      	  1      	-0.111pixel_578+0.108pixel_301+0.099pixel_986+0.097pixel_171-0.093pixel_990...
  0      	  0      	  1      	0.119pixel_791+0.109pixel_344+0.105pixel_699+0.105pixel_299-0.1pixel_861...
  0      	  0      	  1      	0.108pixel_953-0.098pixel_449+0.097pixel_792-0.093pixel_88+0.092pixel_29...
  0      	  0      	  1      	0.1  pixel_188-0.096pixel_112+0.093pixel_44-0.093pixel_309+0.089pixel_630...
  0      	  0      	  1      	0.113pixel_444-0.097pixel_918+0.086pixel_287-0.086pixel_302+0.086pixel_325...
  0      	  0      	  1      	0.122pixel_150-0.111pixel_598+0.099pixel_672-0.096pixel_34-0.093pixel_581...
  0      	  0      	  1      	0.113pixel_965-0.103pixel_301+0.096pixel_596+0.092pixel_823+0.091pixel_846...
  0      	  0      	  1      	-0.107pixel_81-0.105pixel_485-0.103pixel_739+0.096pixel_128-0.092pixel_126...
  0      	  0      	  1      	0.104pixel_749+0.101pixel_567+0.098pixel_287-0.098pixel_780-0.096pixel_990...
  0      	  0      	  1      	-0.099pixel_827+0.094pixel_501+0.09 pixel_180-0.087pixel_155+0.087pixel_253...
  0      	  0      	  1      	-0.111pixel_930-0.11pixel_920+0.099pixel_887-0.097pixel_177+0.095pixel_991...
  0      	  0      	  1      	0.104pixel_517-0.103pixel_699-0.092pixel_38-0.092pixel_364-0.089pixel_342...
  0      	  0      	  1      	0.103pixel_72+0.098pixel_436+0.097pixel_945-0.091pixel_864+0.088pixel_733...
  0      	  0      	  1      	-0.11pixel_356+0.103pixel_949-0.096pixel_825-0.094pixel_13+0.094pixel_857...
  0      	  0      	  1      	-0.097pixel_338-0.095pixel_222-0.09pixel_976+0.089pixel_417-0.083pixel_203...
  0      	  0      	  1      	-0.108pixel_269-0.106pixel_550+0.104pixel_176-0.092pixel_34+0.09 pixel_800...
  0      	  0      	  1      	-0.12pixel_322+0.11 pixel_29-0.103pixel_178+0.093pixel_587-0.091pixel_921...
  0      	  0      	  1      	-0.094pixel_548-0.089pixel_716+0.087pixel_948+0.086pixel_7+0.085pixel_595...
  0      	  0      	  1      	0.101pixel_213-0.097pixel_610-0.095pixel_244-0.094pixel_53-0.092pixel_246...
  0      	  0      	  1      	0.101pixel_668+0.101pixel_393-0.089pixel_728-0.089pixel_293+0.086pixel_895...
  0      	  0      	  1      	-0.106pixel_356-0.102pixel_700-0.102pixel_252+0.101pixel_907-0.092pixel_24...
  0      	  0      	  1      	-0.108pixel_991-0.107pixel_271+0.092pixel_66+0.088pixel_276-0.087pixel_176...
  0      	  0      	  1      	-0.099pixel_1001+0.096pixel_914+0.092pixel_386-0.087pixel_899+0.087pixel_9...
  0      	  0      	  1      	-0.108pixel_138-0.096pixel_270-0.088pixel_881+0.085pixel_483+0.084pixel_947...
  0      	  0      	  1      	-0.127pixel_128+0.109pixel_909-0.099pixel_928-0.096pixel_150-0.086pixel_868...
  0      	  0      	  1      	0.097pixel_975+0.096pixel_79+0.094pixel_242-0.091pixel_436-0.089pixel_407...
  0      	  0      	  1      	-0.122pixel_614+0.111pixel_728-0.102pixel_707+0.098pixel_612+0.089pixel_615...
  0      	  0      	  1      	0.094pixel_885-0.094pixel_407+0.089pixel_159+0.088pixel_125+0.088pixel_987...
  0      	  0      	  1      	-0.105pixel_854+0.104pixel_288-0.095pixel_591-0.095pixel_325+0.092pixel_907...
  0      	  0      	  1      	0.105pixel_437-0.104pixel_228+0.102pixel_770-0.098pixel_112-0.095pixel_799...
  0      	  0      	  1      	-0.106pixel_456+0.103pixel_926+0.101pixel_77+0.099pixel_384-0.096pixel_953...
  0      	  0      	  1      	-0.114pixel_948+0.112pixel_255+0.11 pixel_3-0.103pixel_959+0.101pixel_751...
  0      	  0      	  1      	0.116pixel_968+0.108pixel_705+0.106pixel_206+0.1  pixel_410-0.092pixel_784...
  0      	  0      	  1      	-0.111pixel_639-0.093pixel_939-0.093pixel_139-0.09pixel_832-0.089pixel_3...
  0      	  0      	  1      	-0.107pixel_648-0.101pixel_267-0.1pixel_943-0.091pixel_58-0.088pixel_353...
  0      	  0      	  1      	-0.109pixel_661+0.107pixel_205-0.095pixel_354+0.092pixel_364-0.091pixel_366...
  0      	  0      	  1      	-0.109pixel_512+0.104pixel_889-0.095pixel_617-0.094pixel_497-0.092pixel_858...
  0      	  0      	  1      	-0.106pixel_620-0.099pixel_646+0.094pixel_190+0.093pixel_442+0.091pixel_164...
  0      	  0      	  1      	0.112pixel_967-0.112pixel_215+0.107pixel_178-0.104pixel_915+0.087pixel_321...
  0      	  0      	  1      	0.108pixel_771+0.105pixel_783-0.102pixel_316-0.096pixel_481+0.095pixel_571...
  0      	  0      	  1      	-0.12pixel_643-0.117pixel_321+0.103pixel_548-0.102pixel_322+0.101pixel_273...
  0      	  0      	  1      	-0.12pixel_88+0.114pixel_849+0.113pixel_812-0.098pixel_684-0.086pixel_259...
  0      	  0      	  1      	-0.111pixel_258-0.1pixel_397+0.099pixel_887-0.094pixel_437-0.09pixel_853...
  0      	  0      	  1      	-0.13pixel_38-0.11pixel_192+0.104pixel_139+0.102pixel_191+0.101pixel_369...
  0      	  0      	  1      	-0.118pixel_299-0.112pixel_437+0.112pixel_112+0.107pixel_119-0.098pixel_558...
  0      	  0      	  1      	0.1  pixel_888-0.1pixel_240+0.095pixel_825+0.093pixel_935+0.093pixel_924...
  0      	  0      	  1      	-0.108pixel_851-0.094pixel_982-0.086pixel_535-0.086pixel_213+0.086pixel_930...
  0      	  0      	  1      	0.104pixel_845+0.1  pixel_333+0.098pixel_164-0.098pixel_605-0.097pixel_478...
  0      	  0      	  1      	-0.111pixel_162-0.106pixel_456-0.1pixel_221+0.1  pixel_314-0.095pixel_159...
  0      	  0      	  1      	0.11 pixel_915-0.103pixel_154+0.098pixel_431-0.094pixel_946-0.093pixel_707...
  0      	  0      	  1      	0.098pixel_210+0.096pixel_605+0.092pixel_306-0.091pixel_471+0.09 pixel_683...
  0      	  0      	  1      	-0.115pixel_25-0.104pixel_59+0.091pixel_67+0.086pixel_130+0.083pixel_187...
  0      	  0      	  1      	0.097pixel_427+0.096pixel_668-0.095pixel_159-0.091pixel_740+0.09 pixel_120...
  0      	  0      	  1      	-0.115pixel_157+0.102pixel_26+0.1  pixel_156+0.095pixel_4-0.091pixel_176...
  0      	  0      	  1      	0.126pixel_718-0.11pixel_1000-0.101pixel_732+0.097pixel_411+0.095pixel_750...
  0      	  0      	  1      	-0.105pixel_94-0.101pixel_379-0.098pixel_848+0.093pixel_223+0.088pixel_33...
  0      	  0      	  1      	-0.134pixel_29-0.097pixel_798-0.093pixel_65+0.09 pixel_706+0.088pixel_901...
  0      	  0      	  1      	-0.097pixel_41+0.095pixel_54-0.091pixel_372-0.089pixel_859-0.083pixel_646...
  0      	  0      	  1      	0.114pixel_248+0.109pixel_75+0.101pixel_241-0.1pixel_129-0.095pixel_613...
  0      	  0      	  1      	0.112pixel_894-0.1pixel_816-0.098pixel_420+0.097pixel_605-0.097pixel_122...
  0      	  0      	  1      	0.098pixel_195-0.091pixel_11-0.091pixel_41+0.087pixel_122+0.086pixel_963...
  0      	  0      	  1      	-0.097pixel_716+0.095pixel_472+0.094pixel_782-0.091pixel_252+0.09 pixel_222...
  0      	  0      	  1      	-0.118pixel_481+0.104pixel_284+0.101pixel_16+0.099pixel_637-0.098pixel_952...
  0      	  0      	  1      	0.124pixel_217-0.11pixel_779+0.096pixel_742-0.095pixel_159-0.094pixel_931...
  0      	  0      	  1      	-0.124pixel_749-0.106pixel_261-0.104pixel_237+0.097pixel_373+0.094pixel_394...
  0      	  0      	  1      	-0.109pixel_174+0.104pixel_19-0.102pixel_45-0.096pixel_301+0.093pixel_152...
  0      	  0      	  1      	-0.116pixel_207-0.096pixel_456+0.094pixel_53-0.088pixel_751-0.086pixel_652...
  0      	  0      	  1      	-0.1pixel_162-0.097pixel_140+0.088pixel_881-0.083pixel_934-0.083pixel_14...
  0      	  0      	  1      	0.109pixel_970+0.103pixel_108-0.097pixel_493-0.087pixel_833-0.087pixel_243...
  0      	  0      	  1      	0.12 pixel_802+0.113pixel_440-0.111pixel_899-0.108pixel_51-0.105pixel_165...
  0      	  0      	  1      	-0.114pixel_209+0.105pixel_1000-0.099pixel_665-0.093pixel_319+0.092pixel_672...
  0      	  0      	  1      	-0.099pixel_12-0.096pixel_781+0.091pixel_126+0.091pixel_637+0.09 pixel_771...
  0      	  0      	  1      	0.096pixel_553-0.095pixel_9-0.093pixel_785-0.089pixel_714+0.084pixel_717...
  0      	  0      	  1      	0.107pixel_835+0.106pixel_291-0.097pixel_323+0.09 pixel_971-0.089pixel_284...
  0      	  0      	  1      	0.118pixel_120-0.104pixel_850+0.096pixel_185-0.096pixel_887+0.095pixel_307...
  0      	  0      	  1      	0.107pixel_384-0.103pixel_639+0.102pixel_863-0.097pixel_129+0.093pixel_12...
  0      	  0      	  1      	0.12 pixel_869+0.099pixel_438-0.091pixel_965+0.088pixel_694+0.086pixel_961...
  0      	  0      	  1      	-0.106pixel_58+0.102pixel_617+0.096pixel_831-0.095pixel_525-0.093pixel_66...
  0      	  0      	  1      	-0.125pixel_914-0.103pixel_993-0.094pixel_967+0.093pixel_897+0.093pixel_912...
  0      	  0      	  1      	0.112pixel_158+0.096pixel_601-0.096pixel_82+0.092pixel_55-0.09pixel_833...
  0      	  0      	  1      	-0.111pixel_292+0.109pixel_824+0.102pixel_980-0.099pixel_515+0.097pixel_766...
  0      	  0      	  1      	-0.115pixel_778+0.105pixel_897-0.096pixel_901-0.092pixel_739+0.09 pixel_143...
  0      	  0      	  1      	0.158pixel_556+0.121pixel_910-0.094pixel_55-0.092pixel_304-0.091pixel_481...
  0      	  0      	  1      	-0.109pixel_77+0.109pixel_277+0.106pixel_965-0.105pixel_523+0.092pixel_344...
  0      	  0      	  1      	0.114pixel_955-0.108pixel_630-0.099pixel_412-0.095pixel_160+0.092pixel_124...
  0      	  0      	  1      	0.115pixel_706-0.112pixel_764-0.1pixel_930+0.1  pixel_314+0.098pixel_18...
  0      	  0      	  1      	-0.1pixel_97+0.095pixel_228+0.092pixel_259-0.091pixel_194+0.085pixel_64...
  0      	  0      	  1      	0.135pixel_237-0.109pixel_286+0.099pixel_541-0.093pixel_127-0.086pixel_973...
  0      	  0      	  1      	0.117pixel_288+0.117pixel_209-0.107pixel_861+0.105pixel_797+0.102pixel_727...
